Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ incl VAT)
MBB02070C1009FCT00,10 Ohm resistor,5,$0.1346,$0.6730,https://www.lcsc.com/product-detail/C1364448.html,$0.81
MBB02070C3309FCT00,33 Ohm resistor,5,$0.0748,$0.3740,https://www.lcsc.com/product-detail/C1366513.html,$1.26
MCP23017-E/SP,I/O expander (I2C),1,$2.8158,$2.8158,https://www.lcsc.com/product-detail/C4992459.html,$4.64
PEC12R-4120F-S0012,Rotary encoder,8,$1.8791,$15.0328,https://www.lcsc.com/product-detail/C143801.html,$22.68
SJ1-3533NG,3.5mm TRS jack,1,$1.6565,$1.6565,https://www.lcsc.com/product-detail/C4992459.html,$24.67
KH-2.54FH-1X20P-H8.5,Socket (20 pins),5,$0.1722,$0.8610,https://www.lcsc.com/product-detail/C2905423.html,$25.70
 PH2.54-1X20P-H25,Header (20 pins),5,$0.0488,$0.2440,https://www.lcsc.com/product-detail/C42431804.html,$25.99
IC-28P,DIP socket,17,$0.0510,$0.8670,https://www.lcsc.com/product-detail/C5289491.html,$27.03
M3x10+6Cu,Standoffs,10,$0.0387,$0.3870,https://www.lcsc.com/product-detail/C551322.html,$27.49
hexagon NUT M3,Hex nut,100,$0.0017,$0.1700,https://www.lcsc.com/product-detail/C133377.html,$27.69
1N4148,Diodes,50,$0.0116,$0.5800,https://www.lcsc.com/product-detail/C402212.html,$28.39
SH1106,OLED display module,1,$3.6800,$3.6800,https://www.aliexpress.com/item/1005006072386746.html,$32.81
MIDI DIN to 3.5mm TRS,DIN/TRS converter cable,1,$8.2000,$8.2000,https://www.aliexpress.com/item/1005009365055437.html,$42.65
Ugreen Micro USB Cable,Micro USB for microcontroller,1,$2.6900,$2.6900,https://www.aliexpress.com/item/32391749504.html,$45.88
XDA Profile PBT Keycaps,1U keycaps (30pcs),1,$5.4100,$5.4100,https://www.aliexpress.com/item/1005005514406952.html,$52.37
11mm Potentiometer Knob,Knobs for encoders (10pcs),1,$2.1000,$2.1000,https://www.aliexpress.com/item/1005003991686731.html,$54.89
Gateron Switches KS9,Key switch (30pcs),1,$12.9500,$12.9500,https://www.aliexpress.com/item/1005007474127225.html,$70.43
RPI Pico 2,Microcontroller,1,$8.9800,$8.9800,https://www.aliexpress.com/item/1005008201547951.html,$81.21
